Chemoeffectors,Response,SMILES,Iso_SMILES,RDKit_Mol,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
dihydroxyacetone,none,C(C(=O)CO)O,C(C(=O)CO)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D47ED0>,9.680555555555555,9.680555555555555,0.5462962962962961,-0.5590277777777777,0.43538520851343104,8.333333333333334,90.07799999999999,84.02999999999999,90.031694052,36,0,0.1829100946870485,-0.388490605626107,0.388490605626107,0.1829100946870485,1.3333333333333333,1.6666666666666667,1.6666666666666667,16.288742703881287,10.461378237325285,1.89474003719398,-1.8057879437223652,1.593886917118727,-2.0697333569557053,5.797471866297072,-0.12392580479332664,1.6500224216483543,2.9881608821342693,38.0,4.99156383156272,3.216889043836874,3.216889043836874,2.808060412490447,1.543686458452155,1.543686458452155,0.8549029006116508,0.8549029006116508,0.3527062426235595,0.3527062426235595,0.04999999999999998,0.04999999999999998,-0.41,19.800269059780252,5.59,2.8078649237472764,1.868551532033426,35.21912486105855,10.213054789681411,13.213763929025836,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753234,5.783244946364939,0.0,0.0,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.210063665072184,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,57.53,18.997008875390776,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,9.680555555555555,15.650462962962962,0.0,-0.5462962962962961,0.0,0.0,-1.1180555555555554,0.0,0.6666666666666666,6,2,3,0,0,0,0,0,0,0,0,0,3,2,3,0,2,0,0,0,0,0,2.615994153957879,0,-1.4599000000000002,19.1786,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-alpha-glycerophosphate,attractant,C(C(COP(=O)(O)O)O)O,C([C@@H](COP(=O)(O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D47F40>,9.93110260770975,9.93110260770975,0.5686728395061729,-4.503881172839506,0.38218395046799075,15.2,172.073,163.00099999999998,172.013674638,62,0,0.4691703128690611,-0.39359285975309594,0.4691703128690611,0.39359285975309594,1.5,2.0,2.3,31.204460706217933,10.41800426420312,2.1521731997505387,-2.0727798274096543,2.349686444731164,-2.1786320998049384,7.458279946164563,0.04191495396150458,1.810778576098957,3.455281040689958,116.0,8.198670612749268,5.044128389990237,5.938555580990154,4.454507021897173,2.4447467429566485,3.9750434862968707,1.622740754361301,2.8620935455506125,0.6458461131714952,1.1312666746862776,0.23583828631145523,0.6021056035954198,0.029999999999999978,99.59282168544263,10.03,4.023347885481641,6.154533001245329,57.30922616938877,19.99987799518636,6.103966387748303,0.0,0.0,0.0,7.822697123132171,4.5237471617118175,4.565048284931329,0.0,0.0,0.0,0.0,0.0,13.213763929025836,29.088673441829506,7.822697123132171,0.0,0.0,0.0,6.103966387748303,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,7.822697123132171,39.3176083119605,9.088795446643147,0.0,0.0,0.0,0.0,0.0,0.0,107.22000000000001,27.14042743990631,4.565048284931329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5237471617118175,19.99987799518636,13.769760015117157,0.0,16.11638888888889,16.65156714537667,0.0,0.0,0.0,-1.2429398148148152,-1.152006172839506,-4.503881172839506,1.0,10,4,6,0,0,0,0,0,0,0,1,0,4,4,7,0,4,0,0,0,0,0,4.035417929138086,0,-1.5511000000000001,31.08869999999998,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-erythrose,attractant,C(C(C(C=O)O)O)O,C([C@H]([C@H](C=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94040>,9.584074074074074,9.584074074074074,0.16754629629629636,-1.4583333333333333,0.3726915966360547,17.375,120.10399999999997,112.03999999999998,120.04225873600001,48,0,0.15074042958466874,-0.3935653950533216,0.3935653950533216,0.15074042958466874,1.5,2.0,2.125,16.356371302415887,10.231907552641502,2.1162287448115524,-2.06050405021621,1.8502820175189738,-2.2960088264571317,5.559305261216888,-0.12129420183394196,1.843888400484791,3.4410049622622325,64.43856189774723,6.568914100752346,4.189046665719162,4.189046665719162,3.7187440150134057,2.143242763037206,2.143242763037206,1.3765970807834143,1.3765970807834143,0.7207093775845299,0.7207093775845299,0.19869048802599257,0.19869048802599257,-0.44999999999999996,53.47276361405894,7.550000000000001,3.539430288145257,2.015681329766238,46.37830072765117,20.11411936859394,12.207932775496605,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,20.11411936859394,6.286160523129555,0.0,0.0,0.0,12.207932775496605,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.420557447661196,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,77.76,18.814814740009524,4.794537184071822,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,9.584074074074074,24.810972222222222,0.0,0.0,0.0,-2.631064814814815,-0.5973148148148146,0.0,0.75,8,3,4,0,0,0,0,0,0,0,2,0,4,3,4,0,3,0,0,0,0,0,3.3403373344370864,0,-2.1005999999999996,25.163399999999992,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erythritol,none,C(C(C(CO)O)O)O,C([C@H]([C@H](CO)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D940B0>,8.466435185185185,8.466435185185185,0.5260648148148146,-1.2222222222222225,0.33893341850704395,18.0,122.11999999999996,112.03999999999998,122.0579088,50,0,0.10512346450181179,-0.3935793747869591,0.3935793747869591,0.10512346450181179,0.875,1.125,1.25,16.368969365132994,10.220834787885563,2.116840878389783,-2.104053455450734,1.8789299592065367,-2.314989528272641,4.62133674484346,-0.038752964750925246,1.843888400484791,3.292478156075495,40.0,6.568914100752346,4.357768482752178,4.357768482752178,3.7187440150134057,2.2986832257890577,2.2986832257890577,1.4998436611312251,1.4998436611312251,0.8182696708746625,0.8182696708746625,0.2433521026581923,0.2433521026581923,-0.16,53.47276361405894,7.840000000000001,3.7953311120366515,2.225724698042482,47.01101237980342,20.426109579362823,12.207932775496605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,20.426109579362823,0.0,0.0,0.0,0.0,12.207932775496605,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.84780628388526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.92,25.421696704522443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.426109579362823,0.0,0.0,0.0,33.16324074074074,0.0,0.0,0.0,-2.444444444444445,-1.0521296296296296,0.0,1.0,8,4,4,0,0,0,0,0,0,0,2,0,4,4,4,0,3,0,0,0,0,0,3.719424489795919,0,-2.3072,26.185199999999995,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-arabinose,attractant,C(C(C(C(C=O)O)O)O)O,C([C@H]([C@H]([C@@H](C=O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94120>,9.763926681783826,9.763926681783826,0.08685185185185196,-1.6368981481481482,0.3258384035161683,19.6,150.13,140.04999999999998,150.05282342,60,0,0.1507545862061098,-0.3935788916964168,0.3935788916964168,0.1507545862061098,1.3,1.8,2.1,16.37644327486815,10.11671230377236,2.223344810348958,-2.158965299454789,1.9579239477042691,-2.396749056730007,5.561650619036335,-0.12741460990081474,1.9971193095921398,3.7958538659364676,94.21143267166842,8.146264369941973,5.213610530408746,5.213610530408746,4.629427617536365,2.7347749861177006,2.7347749861177006,1.8671895675132615,1.8671895675132615,1.0706197485270819,1.0706197485270819,0.41610175315591597,0.41610175315591597,-0.48999999999999994,139.79835167144978,9.510000000000002,4.345142282145318,2.402432901243281,57.537476594243785,25.220646763434644,18.31189916324491,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.220646763434644,6.286160523129555,0.0,0.0,0.0,18.31189916324491,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6310512302502,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,97.99000000000001,24.918781127757825,4.794537184071822,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,20.426109579362823,0.0,0.0,9.763926681783826,34.05537887377173,0.0,0.0,0.0,-4.63087962962963,-0.6884259259259258,0.0,0.8,10,4,5,0,0,0,0,0,0,0,3,0,5,4,5,0,4,0,0,0,0,0,4.132230310320198,0,-2.7396999999999996,31.170199999999983,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-arabinose,attractant,C1C(C(C(C(O1)O)O)O)O,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94190>,8.876620370370372,8.876620370370372,0.15337962962962948,-1.4131944444444449,0.3042503204978373,49.2,150.13,140.04999999999998,150.05282342,60,0,0.18311500623380847,-0.3878997004049285,0.3878997004049285,0.18311500623380847,1.0,1.6,2.1,16.62720345316681,10.063339826770592,2.355681915963513,-2.314105610949074,2.12120412350192,-2.5219121461336242,4.806542271025373,-0.25170526129389387,1.9321601728882982,2.515835979311492,92.6059378176129,7.723614639131598,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428367,2.9654212444428367,2.2724291688504716,2.2724291688504716,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,-0.2,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.601925892580123,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,24.601925892580123,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,4.468287037037037,0.0,0.0,35.25055555555556,0.0,0.0,0.0,-5.232129629629631,-0.15337962962962948,0.0,1.0,10,4,5,0,1,1,0,0,0,0,4,0,5,4,5,1,0,0,1,1,0,1,2.2215340457544075,1,-2.5823,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-lyxose,none,C1C(C(C(C(O1)O)O)O)O,C1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94200>,8.876620370370372,8.876620370370372,0.15337962962962948,-1.4131944444444449,0.3042503204978373,49.2,150.13,140.04999999999998,150.05282342,60,0,0.18311500623380847,-0.3878997004049285,0.3878997004049285,0.18311500623380847,1.0,1.6,2.1,16.62720345316681,10.063339826770592,2.355681915963513,-2.314105610949074,2.12120412350192,-2.5219121461336242,4.806542271025373,-0.25170526129389387,1.9321601728882982,2.515835979311492,92.6059378176129,7.723614639131598,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428367,2.9654212444428367,2.2724291688504716,2.2724291688504716,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,-0.2,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.601925892580123,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,24.601925892580123,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,4.468287037037037,0.0,0.0,35.25055555555556,0.0,0.0,0.0,-5.232129629629631,-0.15337962962962948,0.0,1.0,10,4,5,0,1,1,0,0,0,0,4,0,5,4,5,1,0,0,1,1,0,1,2.2215340457544075,1,-2.5823,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-ribose,attractant,C1C(C(C(C(O1)O)O)O)O,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94270>,8.876620370370372,8.876620370370372,0.15337962962962948,-1.4131944444444449,0.3042503204978373,49.2,150.13,140.04999999999998,150.05282342,60,0,0.18311500623380847,-0.3878997004049285,0.3878997004049285,0.18311500623380847,1.0,1.6,2.1,16.62720345316681,10.063339826770592,2.355681915963513,-2.314105610949074,2.12120412350192,-2.5219121461336242,4.806542271025373,-0.25170526129389387,1.9321601728882982,2.515835979311492,92.6059378176129,7.723614639131598,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428367,2.9654212444428367,2.2724291688504716,2.2724291688504716,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,-0.2,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.601925892580123,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,24.601925892580123,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,4.468287037037037,0.0,0.0,35.25055555555556,0.0,0.0,0.0,-5.232129629629631,-0.15337962962962948,0.0,1.0,10,4,5,0,1,1,0,0,0,0,4,0,5,4,5,1,0,0,1,1,0,1,2.2215340457544075,1,-2.5823,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-xylose,attractant,C1C(C(C(C(O1)O)O)O)O,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D942E0>,8.876620370370372,8.876620370370372,0.15337962962962948,-1.4131944444444449,0.3042503204978373,49.2,150.13,140.04999999999998,150.05282342,60,0,0.18311500623380847,-0.3878997004049285,0.3878997004049285,0.18311500623380847,1.0,1.6,2.1,16.62720345316681,10.063339826770592,2.355681915963513,-2.314105610949074,2.12120412350192,-2.5219121461336242,4.806542271025373,-0.25170526129389387,1.9321601728882982,2.515835979311492,92.6059378176129,7.723614639131598,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428367,2.9654212444428367,2.2724291688504716,2.2724291688504716,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,-0.2,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.162972533162872,0.0,0.0,0.0,0.0,24.601925892580123,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,24.601925892580123,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,4.468287037037037,0.0,0.0,35.25055555555556,0.0,0.0,0.0,-5.232129629629631,-0.15337962962962948,0.0,1.0,10,4,5,0,1,1,0,0,0,0,4,0,5,4,5,1,0,0,1,1,0,1,2.2215340457544075,1,-2.5823,29.979199999999988,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-xylose,attractant,C(C(C(C(C=O)O)O)O)O,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D94350>,9.763926681783826,9.763926681783826,0.08685185185185196,-1.6368981481481482,0.3258384035161683,19.6,150.13,140.04999999999998,150.05282342,60,0,0.1507545862061098,-0.3935788916964168,0.3935788916964168,0.1507545862061098,1.3,1.8,2.1,16.37644327486815,10.11671230377236,2.223344810348958,-2.158965299454789,1.9579239477042691,-2.396749056730007,5.561650619036335,-0.12741460990081474,1.9971193095921398,3.7958538659364676,94.21143267166842,8.146264369941973,5.213610530408746,5.213610530408746,4.629427617536365,2.7347749861177006,2.7347749861177006,1.8671895675132615,1.8671895675132615,1.0706197485270819,1.0706197485270819,0.41610175315591597,0.41610175315591597,-0.48999999999999994,139.79835167144978,9.510000000000002,4.345142282145318,2.402432901243281,57.537476594243785,25.220646763434644,18.31189916324491,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.220646763434644,6.286160523129555,0.0,0.0,0.0,18.31189916324491,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6310512302502,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,97.99000000000001,24.918781127757825,4.794537184071822,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,20.426109579362823,0.0,0.0,9.763926681783826,34.05537887377173,0.0,0.0,0.0,-4.63087962962963,-0.6884259259259258,0.0,0.8,10,4,5,0,0,0,0,0,0,0,3,0,5,4,5,0,4,0,0,0,0,0,4.132230310320198,0,-2.7396999999999996,31.170199999999983,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-ribulose,attractant,C(C(C(C(=O)CO)O)O)O,C([C@H]([C@H](C(=O)CO)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D943C0>,10.341018518518519,10.341018518518519,0.7014814814814816,-1.6851851851851853,0.3483597996116835,16.4,150.13,140.04999999999998,150.05282342,60,0,0.18875614851023476,-0.39356516064400815,0.39356516064400815,0.18875614851023476,1.3,1.8,2.1,16.361169478399578,10.130000210934499,2.213823737305702,-2.1140877449003352,1.923251581723572,-2.3737989272380027,5.838220761398766,-0.13682326420841215,1.9971193095921398,3.8088601879317037,102.60593781761291,8.146264369941973,5.266016773216042,5.266016773216042,4.629427617536365,2.7367876057452123,2.7367876057452123,1.8191858663413607,1.8191858663413607,1.037242612768136,1.037242612768136,0.40795405087221986,0.40795405087221986,-0.48999999999999994,139.79835167144978,9.510000000000002,4.345142282145318,2.402432901243281,57.53747659424378,20.426109579362823,18.814814740009524,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,25.220646763434644,5.783244946364939,0.0,0.0,0.0,12.207932775496605,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6310512302502,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,97.99000000000001,31.20494165088738,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.426109579362823,0.0,0.0,10.341018518518519,33.61574074074075,0.0,-0.9013425925925926,0.0,-3.1855092592592595,-1.5365740740740743,0.0,0.8,10,4,5,0,0,0,0,0,0,0,2,0,5,4,5,0,4,0,0,0,0,0,4.132230310320198,0,-2.738099999999999,31.192199999999985,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
